# init_date: 2026-05-01
# valid_start: 2026-07-01
# valid_end: 2026-07-31
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: Rainfall total (mm): ensemble mean/median/sd/quantiles, anomaly vs. climatology
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-20T21:03:03.529270+00:00
# software_version: 0.1.0-phase1
# no_rain_threshold_mm: 1.0
# spatial_resolution_deg: 0.25
# ensemble_statistic: median
lat,lon,spatial_ref,clim_year,median
5.375,36.375,0,2026,3.8587556
5.375,36.625,0,2026,4.4708915
5.375,36.875,0,2026,2.7528846
5.375,37.125,0,2026,3.3219895
5.375,37.375,0,2026,1.9362803
5.375,37.625,0,2026,1.1403424
5.375,37.875,0,2026,1.2891448
5.375,38.125,0,2026,1.0655394
5.375,38.375,0,2026,1.2610092
5.375,38.625,0,2026,1.6506376
5.375,38.875,0,2026,2.029398
5.375,39.125,0,2026,1.8146482
5.375,39.375,0,2026,1.3524456
5.375,39.625,0,2026,0.7629075
5.375,39.875,0,2026,0.475941
5.375,40.125,0,2026,1.5301601
5.375,40.375,0,2026,1.0571052
5.375,40.625,0,2026,1.2693079
5.375,40.875,0,2026,0.85908866
5.375,41.125,0,2026,0.035384607
5.375,41.375,0,2026,0.04101811
5.375,41.625,0,2026,0.035905134
5.375,41.875,0,2026,0.0
5.375,42.125,0,2026,0.0
5.375,42.375,0,2026,0.00047683716
5.375,42.625,0,2026,0.0
5.375,42.875,0,2026,0.0
5.375,43.125,0,2026,0.0
5.375,43.375,0,2026,0.0
5.375,43.625,0,2026,1.6736753
5.375,43.875,0,2026,0.22250618
5.375,44.125,0,2026,0.0
5.375,44.375,0,2026,0.0
5.375,44.625,0,2026,0.14631286
5.375,44.875,0,2026,0.0
5.375,45.125,0,2026,0.0011444092
5.375,45.375,0,2026,0.019158965
5.375,45.625,0,2026,
5.375,45.875,0,2026,
5.375,46.125,0,2026,
5.375,46.375,0,2026,
5.375,46.625,0,2026,
5.375,46.875,0,2026,
5.375,47.125,0,2026,
5.375,47.375,0,2026,
5.375,47.625,0,2026,
5.375,47.875,0,2026,
5.625,33.125,0,2026,
5.625,33.375,0,2026,
5.625,33.625,0,2026,
5.625,33.875,0,2026,
5.625,34.125,0,2026,
5.625,34.375,0,2026,
5.625,34.625,0,2026,
5.625,34.875,0,2026,
5.625,35.125,0,2026,32.446835
5.625,35.375,0,2026,21.66639
5.625,35.625,0,2026,10.558386
5.625,35.875,0,2026,14.142401
5.625,36.125,0,2026,14.834671
5.625,36.375,0,2026,4.900794
5.625,36.625,0,2026,6.8163147
5.625,36.875,0,2026,5.389881
5.625,37.125,0,2026,6.933916
5.625,37.375,0,2026,6.862726
5.625,37.625,0,2026,4.702671
5.625,37.875,0,2026,4.3385153
5.625,38.125,0,2026,4.502475
5.625,38.375,0,2026,2.9430418
5.625,38.625,0,2026,2.4044015
5.625,38.875,0,2026,1.3861698
5.625,39.125,0,2026,1.6843352
5.625,39.375,0,2026,1.964434
5.625,39.625,0,2026,1.2570376
5.625,39.875,0,2026,1.0881325
5.625,40.125,0,2026,1.93568
5.625,40.375,0,2026,2.0924172
5.625,40.625,0,2026,1.0197126
5.625,40.875,0,2026,0.10537994
5.625,41.125,0,2026,0.00071525574
5.625,41.375,0,2026,0.00023841858
5.625,41.625,0,2026,0.0
5.625,41.875,0,2026,0.0
5.625,42.125,0,2026,0.02378897
5.625,42.375,0,2026,0.22459157
5.625,42.625,0,2026,0.0
5.625,42.875,0,2026,0.0
5.625,43.125,0,2026,0.0
5.625,43.375,0,2026,0.0
5.625,43.625,0,2026,0.44767633
5.625,43.875,0,2026,0.19990373
5.625,44.125,0,2026,0.0
5.625,44.375,0,2026,0.0
5.625,44.625,0,2026,0.0
5.625,44.875,0,2026,0.0
5.625,45.125,0,2026,0.0
5.625,45.375,0,2026,0.0
5.625,45.625,0,2026,0.00023841858
5.625,45.875,0,2026,
5.625,46.125,0,2026,
5.625,46.375,0,2026,
5.625,46.625,0,2026,
5.625,46.875,0,2026,
5.625,47.125,0,2026,
5.625,47.375,0,2026,
5.625,47.625,0,2026,
5.625,47.875,0,2026,
5.875,33.125,0,2026,
5.875,33.375,0,2026,
5.875,33.625,0,2026,
5.875,33.875,0,2026,
5.875,34.125,0,2026,
5.875,34.375,0,2026,
5.875,34.625,0,2026,
5.875,34.875,0,2026,52.256004
5.875,35.125,0,2026,46.930405
5.875,35.375,0,2026,24.799278
5.875,35.625,0,2026,23.412745
5.875,35.875,0,2026,17.671305
5.875,36.125,0,2026,19.467628
5.875,36.375,0,2026,9.797697
5.875,36.625,0,2026,10.8630905
5.875,36.875,0,2026,8.629719
5.875,37.125,0,2026,7.4460444
5.875,37.375,0,2026,8.475412
5.875,37.625,0,2026,8.619759
5.875,37.875,0,2026,10.549229
5.875,38.125,0,2026,10.888073
5.875,38.375,0,2026,13.889612
5.875,38.625,0,2026,10.677931
5.875,38.875,0,2026,6.5445
5.875,39.125,0,2026,5.1353292
5.875,39.375,0,2026,4.6849895
5.875,39.625,0,2026,3.7408683
5.875,39.875,0,2026,1.5735049
5.875,40.125,0,2026,1.2309672
5.875,40.375,0,2026,0.77693444
5.875,40.625,0,2026,0.33144656
5.875,40.875,0,2026,0.05545187
5.875,41.125,0,2026,0.023221945
5.875,41.375,0,2026,0.0
5.875,41.625,0,2026,0.0
5.875,41.875,0,2026,0.0
5.875,42.125,0,2026,0.0
5.875,42.375,0,2026,0.0
5.875,42.625,0,2026,0.0
5.875,42.875,0,2026,0.0
5.875,43.125,0,2026,0.0
